1,2,3
641,"Муфта ПНД компр.соединительная с ВР 32х3/4""(90/15) VALFEX",9.0
638,"Муфта ПНД компр.соединительная с НР 25х3/4""(160/40) VALFEX",9.0
636,"Муфта ПНД компр.соединительная с НР 32х3/4""(100/20) VALFEX",9.0
538,"Муфта ПНД компр.соединительная с НР 63х2""(16/4) VALFEX",9.0
535,Муфта ПНД компрессионная переходная 63-50 (12/3) VALFEX,9.0
563,Муфта ПНД компрессионная соед.32 (60/12) VALFEX,9.0
527,Муфта ПНД компрессионная соед.40 (30/6) VALFEX,9.0
528,Муфта ПНД компрессионная соед.50 (16/4) VALFEX,9.0
529,Муфта ПНД компрессионная соед.63 (12/2) VALFEX,9.0
313,"Муфта ПП  вн/вн 1"" AV",9.0
25,Муфта ПП 20 серый РосТурПласт,9.0
26,Муфта ПП 25 серый РосТурПласт,9.0
76,Муфта ПП 32 РосТурПласт,9.0
137,"Муфта ПП комбинированная внутр.резьба 32х1"", серый РосТурПласт (10937)",9.0
27,Муфта ПП комбинированная ВР 20х1/2 серый РосТурПласт,9.0
28,Муфта ПП комбинированная ВР 20х3/4 серый РосТурПласт,9.0
29,Муфта ПП комбинированная ВР 25х1/2 серый РосТурПласт,9.0
30,Муфта ПП комбинированная ВР 25х3/4 серый РосТурПласт,9.0
141,Муфта ПП комбинированная ВР 32х1 серый РосТурПласт,9.0
415,Муфта ПП комбинированная ВР 32х3/4 серый РосТурПласт,9.0
245,Муфта ПП переходная вн/вн 32х20 серый РосТурПласт,9.0
246,Муфта ПП переходная вн/вн 32х25 серый РосТурПласт,9.0
272,Муфта ПП переходная ВР/ВН 25х20 серый,9.0
221,Муфта ПП переходная ВР/ВН 25х32 серый,9.0
670,"Муфта ПП с накидной гайкой 20 х 1/2""",9.0
671,"Муфта ПП с накидной гайкой 20 х 3/4""",9.0
680,"Муфта ПП с накидной гайкой 25х3/4"" сер. РТП",9.0
500,Муфта ПЭ 40 AV Engineering (Для ПЭ (полиэтиленовых) труб),9.0
384,Муфта ПЭ 50 AV Engineering (Для ПЭ (полиэтиленовых) труб),9.0
716,"Муфта ПЭ 63 х 1 1/2"" вн., AV Engineering",9.0
455,"Муфта ред. вн-вн 1""х3/4 LD",9.0
611,"Муфта ред. вн-вн 1""х3/4 РТП",9.0
314,"Муфта ред. вн-вн 1""х3/4 Цветлит",9.0
523,Муфта ред. вн-вн 3/4х1/2 LD,9.0
115,Муфта ред. вн-вн 3/4х1/2 Цветлит,9.0
315,"Муфта ред. вн-вн.1""х3/4 AV",9.0
316,Муфта ред. вн-вн.3/4х1/2 AV,9.0
445,"Муфта соед. для шлангов 3/4"" FISKARS (1027066)",9.0
686,"Муфта соед. для шлангов 3/4"" STARTUL GARDEN (ST6016-5-3/4",9.0
326,"Муфта соед.с нар.рез.для ПЭ Ду 50х2""",9.0
685,"Муфта соеденительная  1/2""(5/8"") STARTUL GARDEN (ST6016-6-1/2)",9.0
571,"Муфта чугун Ду50 (2"")ВР Fittex PLUS",10.0
304,Муфта-фланец компрессионная для ПЭ 110х4 Китай,10.0
421,"Набор для крепления сантехнических труб (КТР)4"" (108-116мм)",11.0
491,Набор для крепления унитаза 6х70мм,11.0
103,"Насадка 20мм для сварочного аппарата для полимерных труб, серый тефлон",8.0
104,"Насадка 25мм для сварочного аппарата для полимерных труб, серый тефлон",8.0
105,"Насадка 32мм для сварочного аппарата для полимерных труб, серый тефлон",8.0
256,Насос RS 25-60-130,7.0
739,Насос погружной WQ-1800-FURIA с изм.,7.0
212,Насос погружной с измельчителем WQ 1100 FURIA ECONOMIC OMNIGENA,7.0
662,"Насос циркуляционный Titan-Rro WRS32-370, A&P",7.0
399,Насос циркуляционный Titan-RS25-40-130 Китай,7.0
413,"Насос циркуляционный Titan-RS25-40-180, A&P (AP118T005)",7.0
543,"Насос циркуляционный Titan-RS25-60-180, A&P",7.0
139,Насос циркуляционный UNIPUMP UPC 25-40 180,7.0
362,Насосно-смесительная группа AVE250-01 AV Engineering (AVE250-01),9.0
255,Насосно-смесительный узел 1037 без насоса,9.0
190,"Ниппель для ПЭ-труб нар. 20x1/2"" AV Engineering",12.0
67,Ниппель для ПЭ-труб нар. 20х1 Unidelta,12.0
66,Ниппель для ПЭ-труб нар. 20х3/4,12.0
68,Ниппель для ПЭ-труб нар. 25х1,12.0
443,Ниппель для ПЭ-труб нар. 25х1/2,12.0
69,Ниппель для ПЭ-труб нар. 25х3/4,12.0
182,Ниппель для ПЭ-труб нар. 25х3/4 Unidelta,12.0
197,Ниппель для ПЭ-труб нар. 32х1,12.0
350,"Ниппель для ПЭ-труб нар. 32х1-1/4""",12.0
200,Ниппель для ПЭ-труб нар. 32х3/4,12.0
135,Ниппель для ПЭ-труб нар. 32х3/4 unidelta,12.0
501,"Ниппель для ПЭ-труб нар. 40х1"" AV Engineering",12.0
332,"Ниппель для ПЭ-труб нар. 50x1 1/4"" AV",12.0
119,Ниппель нар-нар 1 Цветлит,12.0
456,"Ниппель нар-нар 1"" LD",12.0
403,Ниппель нар-нар 1/2 AV Engineering,12.0
31,Ниппель нар-нар 1/2 Цветлит,12.0
437,"Ниппель нар-нар 1/2"",LD",12.0
517,"Ниппель нар-нар 1/2""никел.РТП",12.0
414,Ниппель нар-нар 3/4 AV Engineering,12.0
32,Ниппель нар-нар 3/4 Цветлит,12.0
457,"Ниппель нар-нар 3/4""LD",12.0
721,"Ниппель переходной ДУ-25/20 арт.ZW50060,",12.0
33,Ниппель ПП комбинированная НР 20х1/2 серый РосТурПласт,12.0
34,Ниппель ПП комбинированная НР 20х3/4 серый РосТурПласт,12.0
35,Ниппель ПП комбинированная НР 25х1/2 серый РосТурПласт,12.0
36,Ниппель ПП комбинированная НР 25х3/4 серый РосТурПласт,12.0
78,Ниппель ПП комбинированная НР 32х1 серая Ламин,12.0
718,Ниппель ред. 1 1/2 нар. х 1 1/4,12.0
717,"Ниппель ред. 1 1/2"" нар. х 1"" нар., AV Engineering",12.0
655,"Ниппель ред. 1 1/4"" нар. х 3/4"" нар. никел., РТП",12.0
715,"Ниппель ред. 1 1/4"" х 1"" нар.-нар. чугун черн., AV Engineering",12.0
405,Ниппель ред. нар-нар 3/4х1/2 AV Engineering,12.0
647,Ниппель ред. нар-нар 3/4х1/2 LD,12.0
90,Ниппель ред. нар-нар 3/4х1/2 Цветлит,12.0
654,"Ниппель ред. нар-нар. 1 1/4"" х 1""",12.0
620,"Ниппель ред. нар-нар. 1""х1/2"" LD",12.0
404,Ниппель ред. нар-нар. 1х3/4 AV,12.0
116,Ниппель ред. нар-нар. 1х3/4 Цветлит,12.0
129,"Ниппель ред. нар-нар. 1х3/4""LD",12.0
317,Ниппель ред.ПП нар-нар. 1х1/2 AV,12.0
318,Ниппель ред.ПП нар-нар. 1х3/4 AV,12.0
37,Обвод ПП с муфтой короткий ф20 серый РосТурПласт,9.0
38,Обвод ПП с муфтой короткий ф25 серый РосТурПласт,9.0
545,Обвод ПП с муфтой короткий ф32 серый РосТурПласт,9.0
191,Обратный клапан для вентилятора 100 КО ТДМ,10.0
203,Обратный клапан для внутренней канализации 50 РосТурПласт,10.0
429,Обратный клапан НК 110 РТП (Для наружной канализации),10.0
645,"Отборное устройство 1,6-70-ст20-МП
ЗK14-2-1-02 (УО12-07 L180) (L=180",7.0
708,"Отвод 110 х 50 х 87,5 вверх",10.0
471,Отвод 110х45* (с кольцом),10.0
448,Отвод 110х45*рыжий VALFEX,10.0
449,Отвод 110х87.5*рыжий VALFEX,10.0
472,Отвод 50х45* (с кольцом),9.0
507,Отвод 50х45* Ostendorf,9.0
473,Отвод 50х45* вн.кан.VALFEX,9.0
508,Отвод 50х87* Ostendorf,9.0
207,Отвод для п/э Ду 50 Unidelta,9.0
650,Отвод ПНД компрессионный 25-25 (80/30) VALFEX,9.0
648,"Отвод ПНД компрессионный с ВР 25х1/2""(120/30) VALFEX",9.0
634,"Отвод ПНД компрессионный с ВР 25х3/4""(125/25) VALFEX",9.0
632,"Отвод ПНД компрессионный с НР 20х1/2""(180/45) VALFEX",9.0
649,"Отвод ПНД компрессионный с НР 25х1/2""(120/30) VALFEX",9.0
633,"Отвод ПНД компрессионный с НР 25х3/4""(120/30) VALFEX",9.0
635,"Отвод ПНД компрессионный с НР 32х3/4""(75/15) VALFEX",9.0
539,"Отвод ПНД компрессионный с НР 63х2""(12/3) VALFEX",9.0
354,Отвод ПП для внутр.канализации НТВ 50х45*,10.0
355,Отвод ПП для внутр.канализации НТВ 50х87*,10.0
706,Отвод ПП НТВ 90х30° Ostendorf,10.0
705,Отвод ПП НТВ 90х45° Ostendorf,10.0
704,Отвод ПП НТВ 90х87° Ostendorf,10.0
229,"Отвод сварной ПЭ100 SDR17 160/90""",9.0
151,Отвод стальной крутоизогн. 90* бесшовн Дн 57х3 (Ду 50),9.0
582,"Отвод стальной крутоизогн. 90* шовн Ду 15 (Дн 21,3х2,2)",9.0
231,"Отвод стальной крутоизогн. 90* шовн Ду 20 (Дн 26,8х2,5)",9.0
583,"Отвод стальной крутоизогн. 90* шовн Ду 25 (Дн 33,5х2,6)",9.0
568,"Отвод стальной крутоизогн. 90* шовн Ду 32 (Дн 42,3,х2,6)",9.0
630,"Отвод стальной крутоизогн. 90* шовн Ду 50 (Дн 57х2,8)",9.0
348,"Отвод стальной крутоизогн.90* шовн.Ду 40 (Дн 48,0х2,8), Россия",9.0
672,"Паста для уплотнения резьбовых соединений ""Pastum H20""250гр",8.0
587,"Паста для уплотнения резьбовых соединений ""UNIPAK""",8.0
353,Паста уплатнительная Aquaflax 80гр,8.0
230,Паста уплотнительная универсальная сантехпаста 250гр,8.0
319,Паста уплотнительная универсальная сантехпаста 65гр,8.0
709,Патрубок компенсационный ПП Ду 110мм (35),10.0
624,"Переход 1 1/2"" вн. х 1 1/4"" нар. никел., РТП",9.0
574,"Переход 1 1/4"" вн. х 1"" нар. никел., РТП (РосТурПласт) (25119)",9.0
518,Переход ВК 110х50,10.0
492,"Переход вн-нар 1""х3/4"" РТП",9.0
493,Переход вн-нар 3/4х1/2 РТП,9.0
91,Переход вн-нар 3/4х1/2 Цветлит,9.0
363,"Переход вн.-нар. 1/2""X3/8"" Италия",9.0
288,Переход для внутренней канализации 100/50 РосТурПласт,10.0
249,"Переход евроконус 16х3/4""",9.0
474,Переход кан.110х50 (с кольцом),10.0
